Scheme	Sub Scheme	FAQs
Assurance Package	"Assurance Package (AP) Cash, AP Seniors' Bonus, and AP MediSave"	"How and when will I know if I am eligible for the Assurance Package (AP) Cash, AP Seniors' Bonus, and/or AP MediSave?
You may log in to the e-services to view your eligibility for AP Cash, AP Seniors’ Bonus, and AP MediSave.

Can I withdraw my Assurance Package (AP) MediSave?
The AP MediSave that is credited to your CPF MediSave Account will form part of your CPF monies and will be subjected to CPF withdrawal rules.
MediSave can be used to pay for your own or your immediate family members’ hospitalisation expenses, incurred at any of the participating medical institutions under the MediSave Scheme.
MediSave can also be used to pay for day surgeries and approved outpatient treatments listed on the CPF website.

How will I know if the Assurance Package (AP) Cash, AP Seniors' Bonus, and/or AP MediSave has been credited to my bank/CPF account?
You will receive an SMS (with no web links) sent to your Singpass-registered mobile number or a letter sent to your NRIC address after payment has been made.
To update your mobile number, please log in to your Singpass account on the Singpass website.
For AP MediSave, individuals aged 16 and below who do not have their own Singpass account will be notified via letters sent to their parent’s/guardian’s residential address.

How can I check if the Assurance Package (AP) MediSave has been credited to my child’s CPF account?
You can view your child's CPF statement online to check if the Assurance Package (AP) MediSave has been credited. You may refer to this FAQ for more information.

Do I qualify for Assurance Package (AP) Cash and/or AP Seniors' Bonus if my Assessable Income (AI) is unavailable, but I meet all other criteria?
You may check if your AI is available by visiting iras.gov.sg [log in to myTax Portal using your Singpass > Notices/Letters > Individual, select Year of Assessment]. If your AI is unavailable because you have not filed your tax returns, you may wish to first contact IRAS at 1800 356 8300 to file your income tax returns and thereafter log in to the e-services with your Singpass to reach out to us.

One of the eligibility criteria for the 2025 Assurance Package (AP) Seniors' Bonus is that the Income Earned in 2022 (Assessable Income (AI) for the Year of Assessment (YA) 2023) must not exceed $34,000. Why is AI used instead of other income measures?
The eligibility for the support schemes is based on an individual’s AI for the Year of Assessment (YA) 2023, i.e. income earned in 2022.
AI is used as the income criterion to assess an individual’s means, and it includes all forms of income from trade, business, profession or vocation, employment, as well as rental income that are taxable. The choice of YA takes into account the completed tax assessment data available to ensure consistency and fairness across the population.

Why is Annual Value (AV) used instead of flat type?
AV is currently used as a proxy for wealth and family support. It is a reasonable and best available proxy to assess the financial resources available to the individual, including from immediate family members who reside with the individual.

Why is Annual Value (AV) used for Assurance Package (AP) Seniors' Bonus but not for AP Cash?
Our social support schemes are generally means-tested to ensure support is targeted to help Singaporeans with greater needs. For AP Seniors' Bonus, the approach of using both AV and AI is to enable us to better target the support to those who are in need of greater help.
For AP Cash, the benefits are meant for all adult Singaporeans to cushion the impact of the GST increase. Lower-income Singaporeans and those who do not own more than one property will receive higher cash benefits.

Do I qualify for the Assurance Package (AP) Seniors' Bonus if the Annual Value (AV) of my residence is unavailable, but I meet all other criteria?
AV of the preceding year is used to determine eligibility for AP Seniors’ Bonus in the current year.
If you have not received AP Seniors’ Bonus as your place of residence is a new property where AV is not yet available at the point of determining the allotment for the AP Seniors’ Bonus, you may log in to the e-services with your Singpass to update us when the AV of your residence is available.

Will the 2025 increase in Annual Value (AV) impact my eligibility for the 2025 Assurance Package (AP) Seniors’ Bonus?
Your eligibility for social support schemes in 2025 will not be affected by your 2025 AV. 2024 AV will be used to determine your scheme eligibility in 2025.

How much will I receive if I stay in a rented property?
The amount of Assurance Package (AP) Seniors' Bonus you receive depends on the Annual Value (AV) of your place of residence as stated on your NRIC as at 31 July of the preceding year, regardless of whether you own or rent the property.

If I own more than one property, will I be eligible for Assurance Package (AP) benefits?
Those who own more than one property will be eligible for AP Cash but not the AP Seniors' Bonus. Such properties may include shophouses, private residential properties or non-residential properties such as commercial or industrial properties.

I own more than one property, but I earn a very low income and am in financial difficulty. Can I get my Assurance Package (AP) Seniors’ Bonus?
We may consider your request on a case-by-case basis.
You may log in to the e-services with your Singpass to inform us of your circumstances and appeal for the AP Seniors’ Bonus with the supporting documents.
If you require further assistance, you may approach any Social Service Office (SSO) within your vicinity who may be able to advise you on the available assistance based on your situation and provide you with the necessary assistance. You may wish to visit the SSO website to locate the nearest SSO to you.

I am residing overseas. Am I eligible for Assurance Package (AP) Cash, AP Seniors' Bonus, and/or AP MediSave?
The AP benefits are meant to cushion the impact of the GST rate increase for Singaporeans residing in Singapore. Therefore, you are not eligible for these benefits if you are residing overseas.

If the beneficiary passes away before the payment of the Assurance Package (AP) Cash and/or AP Seniors' Bonus is made, will he/she still qualify?
No. The AP Cash and/or AP Seniors' Bonus is only paid out to Singapore citizens who are alive."
Assurance Package	Assurance Package (AP) U-Save and Cost-of Living (COL) U-Save	"How will I know if I qualify for the Assurance Package (AP) U-Save and Cost-of-Living (COL) U-Save?
No sign-up is required. The AP U-Save and COL U-Save will be credited automatically to the SP utilities account of your household, together with the regular GSTV – U-Save. The rebates will be reflected as “U-Save” in your hardcopy or electronic utilities bill. No further action is required on your part.

Can unused U-Save be encashed?
No. U-Save is meant to offset a household’s utilities expenses and cannot be encashed for other purposes. U-Save does not expire and any unused U-Save will be rolled over to help offset your household’s utilities bills for subsequent months.

Can I use my Assurance Package (AP) U-Save and Cost-of-Living (COL) U-Save to pay for electricity charges under my Open Electric Market (OEM) retailer?
U-Save can be used to offset electricity charges under your OEM retailer. The rebates will first be used to offset SP Group bill for non-electricity charges including water, gas and refuse collection. Any remaining U-Save will then be used to offset your electricity bills by your OEM retailer.

How can I find out more information on U-Save?
For further enquiries, you may fill in this feedback form or contact SP Services Limited at 6671 7117 (Mon-Fri: 830am-530pm)."


Assurance Package	B2024 Cost-of-Living (COL) Special Payment	"How will I know if the B2024 Cost-of-Living (COL) Special Payment has been credited to my bank account?
You will receive a message in the inbox of your Singpass app after payment has been made in September 2024 for the B2024 COL Special Payment. Please turn on your notifications for the Singpass app so that you will not miss any alerts and messages.
As the Singpass app is the default mode of notification, you are strongly encouraged to download the Singpass app to receive Government related information via this secured channel. Please ensure that your app is downloaded from the official app stores (e.g. App store, Play Store or Huawei AppGallery) and check that the app is developed by “Government Technology Agency”.
If you do not have the Singpass app, an SMS (with no web links) will be sent to your Singpass-registered mobile number.
To update your mobile number, please log in to your Singpass account at the Singpass website.

Do I qualify for the B2024 Cost-of-Living (COL) Special Payment if my Assessable Income (AI) is unavailable, but I meet all other criteria?
You may check if your AI is available by visiting iras.gov.sg [log in to myTax Portal using your Singpass > Notices/Letters > Individual, select Year of Assessment].
If your AI is unavailable because you have not filed your tax returns, you may wish to first contact IRAS at 1800 356 8300 to file your income tax returns and thereafter log in to the e-services with your Singpass to reach out to us.

If I own more than one property, will I be eligible for the B2024 Cost-of-Living (COL) Special Payment?
Those who own more than one property will not be eligible for the B2024 COL Special Payment. Such properties may include shophouses, private residential properties or non-residential properties such as commercial or industrial properties.

I own more than one property, but I earn a very low income and am in financial difficulty. Can I get the B2024 Cost-of-Living (COL) Special Payment?
We may consider your request on a case-by-case basis.
You may log in to the e-services with your Singpass to inform us of your circumstances and appeal for the B2024 COL Special Payment with the supporting documents.
If you require further assistance, you may approach any Social Service Office (SSO) within your vicinity who may be able to advise you on the available assistance based on your situation and provide you with the necessary assistance. You may wish to visit the SSO website to locate the nearest SSO to you.

I am residing overseas. Am I eligible to receive the B2024 Cost-of-Living (COL) Special Payment?
The B2024 COL Special Payment is meant to provide relief to Singaporeans residing in Singapore with their cost of living. Therefore, you are not eligible for these benefits if you are residing overseas.

If the beneficiary passes away before the payment of the B2024 Cost-of-Living (COL) Special Payment is made, will he/she still qualify?
No. The B2024 COL Special Payment is only paid out to Singapore citizens who are alive."


Assurance Package	B2024 Cost-of-Living (COL) Service and Conservancy Charges (S&CC) Rebate	"How will I know if my household qualifies for the B2024 Cost-of-Living (COL) Service & Conservancy Charges (S&CC) Rebate?
Eligible Singaporean households living in HDB flats will receive the S&CC rebates to offset between 2 to 4 months of S&CC from April 2024 to January 2025 (depending on HDB flat type), if all the following criteria are met:
a. There must be at least one Singapore citizen flat owner or occupier in the flat;
b. The flat owner(s) and essential occupier(s) of the flat do not own or have any interest in a private property; and
c. The flat owner(s) have not rented out the whole flat.
HDB Residents can check or enquire on their household's eligibility for S&CC Rebate by logging into My HDBPage via HDB InfoWEB with their Singpass and following these steps: My Flat > Purchased Flat/Rental Flat > View Service & Conservancy Charges (S&CC) Rebate > Write to Us.

How much does each HDB household receive in dollar terms?
The amount of Service and Conservancy Charges (S&CC) rebates households receive will vary, depending on the flat type and the S&CC charged by Town Councils.
Eligible Singaporean households living in HDB flats will receive the following months of rebates from April 2024 to January 2025 based on their flat type:
1- and 2- room flats: 4 months;
3- and 4- room flats: 3 months;
5-room flats: 2.5 months; and
Executive/Multi-generation flats: 2 months.
The rebates include the additional one-off 0.5-month in January 2025, as announced at Budget 2024. Town Councils have the full discretion to determine the S&CC rates applicable for every flat, which may vary by flat type, design, and location. As different Town Councils charge different S&CC rates, the amount of S&CC rebate received by households will differ for the same flat type.

Is there any action required on my part if I have already arranged to pay my Service and Conservancy Charges (S&CC) through GIRO?
If you are paying for your S&CC through GIRO, no action is required on your part as the Town Council will arrange with your bank on the amount of S&CC that your household will have to pay to the Town Council, after offsetting against the amount of S&CC Rebate you are eligible for.
If you are not paying for your S&CC through GIRO, you may wish to contact your respective Town Council regarding S&CC payment matters.

Who can I contact for more information on the B2024 Cost-of-Living (COL) Service and Conservancy Charges (S&CC) Rebate?
For S&CC Rebate eligibility matters, residents can send in their enquiry by logging into My HDBPage via HDB InfoWEB with their Singpass and following these steps: My Flat > Purchased Flat/Rental Flat > View Service & Conservancy Charges (S&CC) Rebate > Write to Us.
For enquiries on your household’s S&CC payment or account status, residents can contact their respective Town Council. The Town Councils’ contact information can be found on the respective Town Councils’ websites."


